mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
11	8	37	37	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	179	Vieh											
11	8	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0						
11	8	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	180	und											
11	8	39	39	0.0	1/2	1/2	Tempo	4/4	1	1	0					𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0						
11	8	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	181	al-											
11	8	40	40	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	182	le											15
11	8	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	183												
11	8	37	37	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	184												
11	8	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	185												
11	8	39	39	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	186												
11	8	79/2	79/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	187												
11	8	159/4	159/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	188												
11	8	40	40	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	189												
11	8	37	37	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	190												
11	8	38	38	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/4	6				
11	8	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	191												
11	8	39	39	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/8	9	*			
